"Voltage_x"	"Voltage_y"
62.75	1.2	
62.833	1.2	
62.917	1.2	
63	1.2	
63.083	1.2	
63.167	1.2	
63.25	1.2	
63.333	1.2	
63.417	1.2	
63.5	1.2	
63.583	1.2	
63.667	1.2	
63.75	1.2	
63.833	1.2	
63.917	1.2	
